"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
"1"	1	0	27	"asian"	"yellow"	"paper"	"BA"	1	1	76	653.088599911733	4
"2"	2	0	24	"hispanic"	"yellow"	"cannon"	"PhD"	2	1	66	693.462212646949	4
"3"	3	0	26	"black"	"brown"	"accurate"	"PhD"	3	1	47	850.555770280928	3
"4"	4	0	27	"white"	"yellow"	"accurate"	"PhD"	4	0	46	813.766297653064	3
"5"	5	0	25	"white"	"brown"	"cannon"	"BA"	5	0	2	1065.02018164978	NA
"6"	6	1	26	"hispanic"	"brown"	"broom"	"HighSchool"	1	1	75	685.822164638103	5
"7"	7	0	27	"black"	"yellow"	"accurate"	"PhD"	2	0	70	727.979236300738	3
"8"	8	1	24	"white"	"yellow"	"cannon"	"PhD"	3	0	51	834.980728175708	5
"9"	9	0	26	"white"	"yellow"	"broom"	"BA"	4	1	32	948.811938181989	2
"10"	10	0	25	"white"	"brown"	"accurate"	"HighSchool"	5	0	2	962.622067136045	2
"11"	11	0	26	"black"	"brown"	"accurate"	"PhD"	1	1	85	532.843713078776	5
"12"	12	0	24	"black"	"yellow"	"broom"	"HighSchool"	2	0	64	743.085479344612	4
"13"	13	1	25	"black"	"brown"	"paper"	"BA"	3	0	56	796.039034720881	5
"14"	14	0	27	"white"	"brown"	"cannon"	"PhD"	4	0	27	888.651067028511	2
"15"	15	0	22	"black"	"yellow"	"paper"	"BA"	5	1	14	1093.09238388893	2
"16"	16	1	25	"white"	"brown"	"broom"	"HighSchool"	1	1	81	697.672990468382	6
"17"	17	0	26	"white"	"brown"	"cannon"	"PhD"	2	1	58	743.925355800011	4
"18"	18	0	24	"white"	"brown"	"paper"	"BA"	3	1	51	758.394150438562	4
"19"	19	1	25	"hispanic"	"yellow"	"paper"	"PhD"	4	0	42	878.57452300699	5
"20"	20	0	21	"white"	"yellow"	"broom"	"MS"	5	0	26	923.04331410152	4
"21"	21	0	27	"white"	"brown"	"cannon"	"MS"	1	1	84	563.978618864118	5
"22"	22	0	28	"asian"	"brown"	"broom"	"BA"	2	1	76	722.671614287059	4
"23"	23	0	24	"hispanic"	"yellow"	"paper"	"PhD"	3	1	63	698.995164164395	5
"24"	24	0	23	"white"	"brown"	"cannon"	"BA"	4	0	38	948.175080451957	3
"25"	25	1	28	"white"	"yellow"	"paper"	"MS"	5	1	17	1061.74289992874	4
"26"	26	1	25	"hispanic"	"brown"	"accurate"	"HighSchool"	1	1	72	800.657602000846	6
"27"	27	0	24	"white"	"yellow"	"accurate"	"HighSchool"	2	1	66	787.670512842229	5
"28"	28	0	26	"asian"	"brown"	"paper"	"PhD"	3	0	43	873.78873949727	4
"29"	29	0	25	"black"	"brown"	"paper"	"BA"	4	0	12	1031.13337883702	2
"30"	30	0	25	"white"	"brown"	"broom"	"BA"	5	0	18	931.250629292438	2
"31"	31	1	26	"white"	"brown"	"broom"	"HighSchool"	1	1	79	600.043958680538	5
"32"	32	1	24	"white"	"brown"	"broom"	"PhD"	2	0	59	744.028297164235	5
"33"	33	1	26	"asian"	"yellow"	"broom"	"MS"	3	1	42	910.188272945269	5
"34"	34	0	24	"hispanic"	"brown"	"broom"	"BA"	4	1	15	992.011742053564	2
"35"	35	1	29	"white"	"brown"	"paper"	"PhD"	5	0	9	1070.40563507514	3
"36"	36	1	25	"white"	"yellow"	"broom"	"HighSchool"	1	1	86	591.327189883488	4
"37"	37	1	26	"white"	"yellow"	"cannon"	"BA"	2	0	67	675.466915178629	6
"38"	38	1	29	"black"	"brown"	"cannon"	"PhD"	3	1	32	846.444525716735	4
