"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
"1"	1	0	30	"white"	"yellow"	"ship"	"MS"	1	1	80	574.076260099029	4
"2"	2	0	28	"white"	"yellow"	"candle"	"MS"	2	1	62	667.365557968435	4
"3"	3	0	30	"white"	"yellow"	"cannon"	"MS"	3	1	52	736.494631129818	3
"4"	4	1	25	"other"	"black"	"cannon"	"BA"	4	0	35	927.303805950034	4
"5"	5	0	29	"white"	"black"	"accurate"	"BA"	5	0	20	920.018940659028	4
"6"	6	0	30	"black"	"black"	"ship"	"PhD"	1	1	79	641.099719363937	5
"7"	7	0	29	"white"	"black"	"accurate"	"HighSchool"	2	0	57	767.503786371947	3
"8"	8	1	23	"white"	"yellow"	"ship"	"PhD"	3	0	43	778.181859140551	5
"9"	9	1	27	"black"	"yellow"	"accurate"	"BA"	4	0	39	677.142535784587	4
"10"	10	1	26	"white"	"black"	"cannon"	"MS"	5	0	28	814.105350891949	5
"11"	11	0	27	"black"	"yellow"	"cannon"	"BA"	1	1	91	547.67313261825	4
"12"	12	1	27	"white"	"black"	"cannon"	"MS"	2	1	65	687.542463325529	5
"13"	13	1	32	"white"	"black"	"ship"	"BA"	3	1	56	649.543555587324	5
"14"	14	0	23	"black"	"yellow"	"cannon"	"BA"	4	1	35	763.638833191967	3
"15"	15	1	28	"black"	"black"	"accurate"	"PhD"	5	0	33	874.63077157152	4
"16"	16	0	29	"black"	"black"	"accurate"	"BA"	1	1	68	620.537759792016	4
"17"	17	0	30	"asian"	"yellow"	"ship"	"BA"	2	1	61	620.38771262357	4
"18"	18	1	24	"white"	"yellow"	"accurate"	"HighSchool"	3	1	61	599.229258703133	4
"19"	19	0	29	"black"	"black"	"accurate"	"HighSchool"	4	1	35	797.278032037509	3
"20"	20	1	32	"white"	"black"	"candle"	"MS"	5	0	10	854.570177629887	4
"21"	21	0	29	"hispanic"	"black"	"candle"	"PhD"	1	1	83	472.418590439069	5
"22"	22	1	30	"asian"	"black"	"ship"	"HighSchool"	2	0	61	656.070589234557	5
"23"	23	1	28	"white"	"black"	"ship"	"BA"	3	0	50	624.471743743677	5
"24"	24	1	28	"other"	"yellow"	"cannon"	"BA"	4	0	47	718.024224655119	4
"25"	25	1	27	"white"	"black"	"accurate"	"PhD"	5	0	25	946.738522617906	4
"26"	26	0	28	"white"	"black"	"ship"	"PhD"	1	1	83	561.944125572233	4
"27"	27	0	22	"black"	"yellow"	"candle"	"MS"	2	1	NA	561.183635921266	3
"28"	28	0	31	"white"	"black"	"ship"	"MS"	3	0	47	723.66321211294	3
"29"	29	0	25	"black"	"black"	"accurate"	"BA"	4	0	29	698.795196473944	3
"30"	30	0	30	"white"	"black"	"accurate"	"MS"	5	0	16	876.455544378119	3
"31"	31	0	31	"white"	"yellow"	"cannon"	"HighSchool"	1	1	91	479.753372154559	5
"32"	32	0	26	"hispanic"	"black"	"candle"	"MS"	2	1	59	657.198497888615	3
