"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
"1"	1	1	31	"black"	"blue"	"ship"	"MS"	1	1	94	484.128844436895	6
"2"	2	0	26	"white"	"black"	"ship"	"PhD"	2	0	69	635.459753993419	3
"3"	3	1	30	"hispanic"	"black"	"accurate"	"BA"	3	1	49	781.488161987343	4
"4"	4	0	31	"asian"	"blue"	"accurate"	"MS"	4	1	40	896.159222362882	3
"5"	5	0	27	"white"	"blue"	"accurate"	"BA"	5	0	31	829.424329218874	3
"6"	6	1	28	"hispanic"	"blue"	"ship"	"BA"	1	1	86	564.619444270702	6
"7"	7	0	33	"hispanic"	"blue"	"accurate"	"HighSchool"	2	0	69	711.440154974295	3
"8"	8	0	30	"white"	"blue"	"accurate"	"PhD"	3	1	42	876.769220152859	3
"9"	9	0	27	"hispanic"	"black"	"accurate"	"BA"	4	0	41	837.18434203863	2
"10"	10	0	28	"black"	"black"	"cannon"	"MS"	5	0	17	1052.68503048425	1
"11"	11	1	28	"white"	"blue"	"cannon"	"HighSchool"	1	1	88	596.657892064501	5
"12"	12	1	32	"white"	"black"	"ship"	"BA"	2	1	61	711.554992426962	5
"13"	13	0	32	"other"	"blue"	"accurate"	"HighSchool"	3	1	52	840.171458443963	3
"14"	14	0	31	"white"	"black"	"ship"	"BA"	4	1	35	869.439923603584	3
"15"	15	0	33	"asian"	"blue"	"candle"	"HighSchool"	5	0	25	878.21571703388	3
"16"	16	0	28	"white"	"black"	"accurate"	"MS"	1	1	79	669.880142572544	4
"17"	17	1	30	"white"	"blue"	"accurate"	"HighSchool"	2	1	68	647.665540790356	5
"18"	18	1	31	"white"	"blue"	"ship"	"MS"	3	1	55	720.197841931093	5
"19"	19	1	29	"asian"	"blue"	"candle"	"PhD"	4	0	39	898.41927317635	4
"20"	20	1	28	"black"	"black"	"accurate"	"HighSchool"	5	0	11	951.688398733949	4
"21"	21	0	28	"white"	"black"	"ship"	"MS"	1	1	76	704.252808060001	4
"22"	22	0	29	"white"	"black"	"ship"	"BA"	2	0	70	658.468874926481	NA
"23"	23	0	31	"hispanic"	"black"	"accurate"	"MS"	3	0	54	851.872847724787	3
"24"	24	0	30	"white"	"blue"	"cannon"	"PhD"	4	0	42	847.703319549021	4
"25"	25	1	30	"white"	"blue"	"candle"	"HighSchool"	5	0	22	958.099305085801	4
"26"	26	1	28	"black"	"black"	"cannon"	"PhD"	1	1	76	772.776444519403	4
"27"	27	1	27	"white"	"blue"	"candle"	"PhD"	2	0	71	605.536546977324	5
"28"	28	0	31	"white"	"black"	"cannon"	"MS"	3	0	45	766.560007433097	3
"29"	29	0	28	"black"	"blue"	"ship"	"MS"	4	0	31	846.490063666974	3
"30"	30	0	28	"white"	"blue"	"cannon"	"HighSchool"	5	0	21	1053.20911539946	3
"31"	31	0	29	"white"	"blue"	"candle"	"BA"	1	1	78	592.046272111847	4
"32"	32	0	29	"white"	"black"	"accurate"	"HighSchool"	2	1	68	644.877232141936	4
"33"	33	0	30	"other"	"black"	"candle"	"HighSchool"	3	0	36	942.225551223859	3
"34"	34	0	29	"black"	"blue"	"candle"	"MS"	4	0	36	877.875818212855	4
"35"	35	1	28	"hispanic"	"blue"	"accurate"	"MS"	5	0	18	902.854402376925	2
"36"	36	0	31	"white"	"blue"	"ship"	"MS"	1	1	91	554.339725515556	4
"37"	37	1	29	"white"	"blue"	"accurate"	"PhD"	2	0	78	757.207017319036	6
"38"	38	0	28	"black"	"black"	"ship"	"BA"	3	1	44	761.187249149627	3
"39"	39	0	31	"white"	"blue"	"accurate"	"BA"	4	1	36	822.465962213117	2
"40"	40	1	29	"white"	"black"	"candle"	"MS"	5	0	12	979.215792822174	4
"41"	41	1	31	"white"	"black"	"accurate"	"MS"	1	1	82	598.138059146527	5
"42"	42	1	31	"hispanic"	"black"	"cannon"	"PhD"	2	1	67	679.832240640993	5
"43"	43	1	28	"white"	"black"	"ship"	"MS"	3	1	35	858.206161922269	4
"44"	44	1	32	"white"	"black"	"cannon"	"MS"	4	0	29	907.352882672118	5
"45"	45	0	29	"white"	"black"	"candle"	"MS"	5	1	19	942.398470308393	2
"46"	46	0	29	"other"	"black"	"accurate"	"HighSchool"	1	1	78	678.697555472788	3
"47"	47	0	27	"white"	"blue"	"ship"	"PhD"	2	1	59	757.743817523002	3
"48"	48	0	29	"hispanic"	"black"	"accurate"	"PhD"	3	0	41	838.240026338023	3
"49"	49	1	30	"other"	"black"	"ship"	"HighSchool"	4	0	40	825.620868975919	5
"50"	50	1	31	"black"	"black"	"cannon"	"BA"	5	0	20	1067.17363286801	4
"51"	51	1	28	"white"	"blue"	"accurate"	"MS"	1	1	83	770.57543616041	6
"52"	52	1	30	"white"	"blue"	"ship"	"MS"	2	1	71	719.736107624639	5
"53"	53	1	28	"black"	"blue"	"accurate"	"HighSchool"	3	1	55	833.512511039828	4
"54"	54	0	30	"other"	"black"	"candle"	"PhD"	4	0	28	926.566839243905	2
"55"	55	1	27	"white"	"black"	"candle"	"HighSchool"	5	0	24	950.877240743083	4
"56"	56	0	28	"white"	"black"	"accurate"	"BA"	1	1	80	642.219081364183	4
"57"	57	0	30	"asian"	"blue"	"accurate"	"HighSchool"	2	1	66	694.709999255442	3
"58"	58	0	30	"white"	"black"	"candle"	"BA"	3	1	42	874.384438126502	4
"59"	59	0	27	"black"	"blue"	"candle"	"MS"	4	0	26	847.226186340363	3
"60"	60	0	28	"black"	"blue"	"candle"	"BA"	5	0	29	868.550323025458	3
"61"	61	1	30	"white"	"black"	"ship"	"HighSchool"	1	1	76	731.659091112141	6
"62"	62	0	29	"black"	"black"	"cannon"	"BA"	2	0	60	766.928866902717	3
"63"	63	1	30	"other"	"black"	"candle"	"HighSchool"	3	1	45	792.900817352962	4
"64"	64	0	31	"white"	"blue"	"candle"	"PhD"	4	0	36	927.759943761085	3
"65"	65	1	29	NA	"blue"	"ship"	"PhD"	5	0	19	1028.83239310643	4
"66"	66	0	28	"white"	"blue"	"ship"	"MS"	1	1	87	628.222961201003	4
"67"	67	0	29	"black"	"black"	"accurate"	"HighSchool"	2	1	64	656.961673409902	3
"68"	68	1	31	"other"	"blue"	"accurate"	"HighSchool"	3	1	58	698.306352524086	5
"69"	69	0	29	"white"	"blue"	"accurate"	"HighSchool"	4	0	31	871.829536385507	2
"70"	70	1	29	"black"	"blue"	"candle"	"HighSchool"	5	0	12	997.182212549012	3
"71"	71	0	32	"hispanic"	"blue"	"candle"	"HighSchool"	1	1	89	660.518168526353	4
"72"	72	1	27	"white"	"black"	"cannon"	"MS"	2	0	58	752.570164300021	5
"73"	73	1	28	"black"	"black"	"cannon"	"HighSchool"	3	1	44	776.702819054448	5
"74"	74	1	29	"white"	NA	"accurate"	"BA"	4	NA	38	905.391551679161	3
"75"	75	0	29	"white"	"blue"	"cannon"	"PhD"	5	0	29	885.343891066741	3
"76"	76	1	30	"white"	"black"	"ship"	"BA"	1	1	75	613.85612496598	5
"77"	77	0	28	"white"	"blue"	"accurate"	"BA"	2	1	70	701.518232990732	4
"78"	78	1	30	"black"	"black"	"ship"	"PhD"	3	1	64	742.613366533687	5
"79"	79	0	31	"white"	"blue"	"accurate"	"HighSchool"	4	1	32	812.233347611425	3
"80"	80	1	30	"white"	"black"	"candle"	"MS"	5	0	9	966.047302715826	4
"81"	81	0	27	"white"	"black"	"ship"	"BA"	1	1	67	625.127408935179	4
"82"	82	0	33	"white"	"blue"	"cannon"	"MS"	2	1	79	685.945753554159	4
"83"	83	0	31	"white"	"blue"	"accurate"	"PhD"	3	1	53	763.543387558855	4
"84"	84	1	26	"black"	"blue"	"accurate"	"PhD"	4	0	34	884.726862884743	4
"85"	85	0	30	"other"	"black"	"cannon"	"HighSchool"	5	1	13	915.589532275912	2
"86"	86	0	32	"white"	"black"	"cannon"	"HighSchool"	1	1	71	552.181365651955	4
"87"	87	1	29	"black"	"black"	"cannon"	"MS"	2	0	70	732.941732224356	5
"88"	88	1	31	"asian"	"black"	"candle"	"MS"	3	1	51	704.427222275871	5
"89"	89	1	31	"white"	"black"	"candle"	"BA"	4	0	32	926.526249699284	4
"90"	90	0	30	"black"	"blue"	"accurate"	"BA"	5	0	29	928.27952506783	2
"91"	91	1	29	"black"	"black"	"accurate"	"HighSchool"	1	1	90	566.73910680101	4
"92"	92	1	31	"white"	"black"	"cannon"	"MS"	2	1	61	736.158027445889	5
"93"	93	1	29	"white"	"blue"	"accurate"	"PhD"	3	1	57	855.955000865551	5
"94"	94	0	32	"white"	"blue"	"ship"	"MS"	4	0	31	977.13857831394	3
"95"	95	1	28	"asian"	"blue"	"cannon"	"BA"	5	0	19	967.77139459125	4
"96"	96	0	30	"hispanic"	"black"	"cannon"	"BA"	1	0	78	719.571576026224	4
"97"	97	1	34	"black"	"blue"	"ship"	"PhD"	2	1	56	741.630849326243	6
"98"	98	0	31	"black"	"black"	"ship"	"BA"	3	0	56	700.292858444566	4
"99"	99	1	29	"other"	"blue"	"accurate"	"MS"	4	1	37	842.342412329712	4
"100"	100	0	31	"black"	"black"	"cannon"	"MS"	5	0	22	1017.27069801542	2
"101"	101	0	32	"white"	"blue"	"candle"	"MS"	1	0	79	650.582622737888	4
"102"	102	0	31	"asian"	"black"	"cannon"	"MS"	2	1	60	688.676678662813	4
"103"	103	0	31	"black"	"blue"	"accurate"	"PhD"	3	1	49	810.658010699262	4
"104"	104	1	31	"other"	"blue"	"candle"	"BA"	4	0	48	724.499741456991	4
"105"	105	0	30	"white"	"black"	"candle"	"PhD"	5	0	12	1026.3833517782	3
"106"	106	1	28	"hispanic"	"blue"	"ship"	"PhD"	1	1	77	678.855606880997	5
"107"	107	1	31	"white"	"black"	"accurate"	"BA"	2	1	69	673.508663437801	6
"108"	108	0	32	"black"	"black"	"accurate"	"BA"	3	0	55	703.768695507965	3
"109"	109	1	31	"hispanic"	"blue"	"ship"	"BA"	4	0	37	899.299486429976	4
"110"	110	1	27	"asian"	"blue"	"candle"	"PhD"	5	0	19	1063.16446081295	4
"111"	111	0	30	"hispanic"	"black"	"cannon"	"HighSchool"	1	1	79	678.072839159298	4
"112"	112	1	30	"white"	"black"	"candle"	"BA"	2	0	57	762.473458245639	4
"113"	113	0	26	"white"	"black"	"accurate"	"BA"	3	1	36	860.194403376338	3
"114"	114	1	28	"white"	"black"	"candle"	"BA"	4	0	34	930.017636913194	4
"115"	115	1	30	"white"	"blue"	"ship"	"HighSchool"	5	0	12	1040.14167030708	5
"116"	116	0	30	"hispanic"	"black"	"ship"	"BA"	1	1	85	501.352706354611	3
"117"	117	0	27	"white"	"black"	"ship"	"PhD"	2	1	75	629.138869021998	4
"118"	118	0	29	"white"	"blue"	"cannon"	"PhD"	3	0	54	772.12881066781	4
"119"	119	0	28	"white"	"blue"	"accurate"	"BA"	4	0	42	860.420028814726	3
"120"	120	0	32	"asian"	"black"	"cannon"	"PhD"	5	0	18	1077.51750080606	3
"121"	121	1	29	"other"	"blue"	"accurate"	"BA"	1	0	86	511.211479169556	6
"122"	122	1	32	"other"	"blue"	"candle"	"MS"	2	1	79	547.923590034446	6
"123"	123	1	30	"white"	"black"	"accurate"	"HighSchool"	3	1	42	800.372071519357	5
"124"	124	1	28	"black"	"black"	"ship"	"PhD"	4	NA	34	848.028574524958	4
"125"	125	0	30	"white"	"blue"	"ship"	"PhD"	5	0	32	984.838245266396	3
"126"	126	1	30	"hispanic"	"black"	"accurate"	"BA"	1	1	78	609.310726620001	5
"127"	127	1	30	"white"	"black"	"candle"	"HighSchool"	2	1	68	700.726345275714	5
"128"	128	1	29	"white"	"black"	"cannon"	"HighSchool"	3	1	55	761.625522019749	5
"129"	129	0	31	"white"	"black"	"ship"	"MS"	4	0	23	940.602576375393	3
"130"	130	0	29	"other"	"blue"	"candle"	"PhD"	5	0	5	1038.23923022753	1
"131"	131	1	29	"black"	"blue"	"ship"	"PhD"	1	1	92	549.787567676364	6
"132"	132	0	30	"white"	"blue"	"cannon"	"PhD"	2	1	78	661.145158869626	3
"133"	133	1	31	"white"	"blue"	"accurate"	"PhD"	3	1	58	715.633257219252	4
"134"	134	0	29	"other"	"black"	"candle"	"MS"	4	0	49	826.943659106163	3
"135"	135	0	29	"hispanic"	"blue"	"accurate"	"HighSchool"	5	0	31	938.235890487807	3
"136"	136	0	31	"other"	"black"	"candle"	"BA"	1	1	80	613.998730891773	4
"137"	137	0	27	"black"	"black"	"ship"	"PhD"	2	1	60	718.986933888539	5
"138"	138	0	31	"other"	"black"	"candle"	"PhD"	3	0	43	735.160158920528	3
"139"	139	0	28	"black"	"blue"	"candle"	"MS"	4	0	42	732.61166279874	3
"140"	140	1	30	"white"	"blue"	"candle"	"MS"	5	0	16	1016.80110854883	3
"141"	141	0	29	"white"	"blue"	"ship"	"HighSchool"	1	1	83	518.764020130808	5
"142"	142	0	28	"white"	"blue"	"cannon"	"HighSchool"	2	1	64	694.984638670182	4
"143"	143	0	30	"asian"	"blue"	"ship"	"BA"	3	0	62	715.420134157682	4
"144"	144	0	33	"white"	"blue"	"accurate"	"MS"	4	0	42	762.203150564731	3
"145"	145	0	27	"black"	"black"	"accurate"	"HighSchool"	5	0	13	972.003504459895	2
"146"	146	0	29	"hispanic"	"black"	"accurate"	"PhD"	1	1	81	664.152917433703	4
"147"	147	0	30	"white"	"blue"	"accurate"	"HighSchool"	2	0	68	744.38327157896	4
"148"	148	0	31	"hispanic"	"blue"	"candle"	"BA"	3	0	51	853.583347901373	3
"149"	149	1	28	"black"	"black"	"candle"	"BA"	4	0	34	856.20614360948	4
"150"	150	0	31	"hispanic"	"black"	"accurate"	"BA"	5	0	10	1075.7633611282	2
