"id"	"sex"	"age"	"race"	"color"	"word"	"education"	"boxes"	"accuracy"	"confidence"	"rt"	"interest"
"1"	1	1	24	"hispanic"	"yellow"	"eyepatch"	"HighSchool"	1	1	74	642.823070244053	NA
"2"	2	1	24	"white"	"blue"	"cannon"	"MS"	2	1	69	660.554591020483	6
"3"	3	1	28	"white"	"yellow"	"cannon"	"PhD"	3	0	53	824.226136080959	5
"4"	4	0	24	"black"	"yellow"	"cannon"	"BA"	4	0	41	NA	3
"5"	5	0	26	"white"	"yellow"	"accurate"	"PhD"	5	0	19	1009.85675936229	2
"6"	6	1	26	"asian"	"blue"	"eyepatch"	"PhD"	1	1	88	672.669500825198	7
"7"	7	1	25	"white"	"blue"	"broom"	"PhD"	2	0	66	746.325144372737	3
"8"	8	1	24	"black"	"blue"	"broom"	"BA"	3	0	46	658.279148473414	4
"9"	9	0	28	"white"	"yellow"	"eyepatch"	"MS"	4	0	44	818.830734510622	4
"10"	10	1	24	"black"	"yellow"	"cannon"	"HighSchool"	5	0	21	952.832378314019	5
"11"	11	1	26	"black"	"yellow"	"eyepatch"	"PhD"	1	0	80	686.812308823177	5
"12"	12	0	23	"other"	"blue"	"eyepatch"	"BA"	2	1	78	641.448939330588	4
"13"	13	0	26	"hispanic"	"blue"	"cannon"	"PhD"	3	1	61	797.471238345442	4
"14"	14	0	25	"white"	"yellow"	"broom"	"MS"	4	0	38	895.868424442445	2
"15"	15	0	26	"white"	"blue"	"eyepatch"	"PhD"	5	0	27	1082.34934473353	2
"16"	16	1	25	"white"	"blue"	"broom"	"HighSchool"	1	1	83	654.276985358251	5
"17"	17	0	24	"other"	"blue"	"broom"	"HighSchool"	2	0	71	690.631137917976	3
"18"	18	1	27	"white"	"yellow"	"cannon"	"BA"	3	1	60	670.413074034515	5
"19"	19	0	20	"white"	"blue"	"cannon"	"BA"	4	0	45	814.923559426784	3
"20"	20	1	22	"other"	"blue"	"eyepatch"	"PhD"	5	0	29	951.339666730611	3
"21"	21	0	24	"asian"	"blue"	"accurate"	"HighSchool"	1	0	86	659.476882395524	4
"22"	22	0	26	"asian"	"blue"	"eyepatch"	"MS"	2	0	77	525.320794034221	3
"23"	23	1	27	"hispanic"	"blue"	"cannon"	"MS"	3	0	62	703.765468079423	5
"24"	24	0	28	"white"	"yellow"	"broom"	"BA"	4	0	38	873.73204367892	2
"25"	25	1	26	"white"	"yellow"	"accurate"	"PhD"	5	0	31	843.076966749779	5
"26"	26	0	27	"asian"	"blue"	"broom"	"BA"	1	1	80	606.851405533815	4
"27"	27	1	26	"hispanic"	"yellow"	"broom"	"MS"	2	0	71	650.553513147517	5
"28"	28	0	27	"black"	"yellow"	"broom"	"MS"	3	0	50	728.252119401677	3
"29"	29	0	25	"white"	"blue"	"accurate"	"BA"	4	0	31	883.993144993102	2
"30"	30	0	27	"other"	"yellow"	"broom"	"MS"	5	0	23	899.034777354815	2
"31"	31	1	23	"black"	"yellow"	"cannon"	"HighSchool"	1	1	84	649.345078571686	5
"32"	32	1	26	"white"	"yellow"	"eyepatch"	"BA"	2	1	74	674.571198561635	5
"33"	33	0	25	"white"	"yellow"	"eyepatch"	"HighSchool"	3	0	55	702.709226820378	3
"34"	34	0	23	"white"	"blue"	"accurate"	"BA"	4	1	41	819.329200202592	2
