"id"	"sex"	"age"	"race"	"color"	"word"	"education"	"boxes"	"accuracy"	"confidence"	"rt"	"interest"
"1"	1	1	28	"white"	"green"	"accurate"	"BA"	1	1	87	603.669799299215	6
"2"	2	0	27	"black"	"green"	"glasses"	"PhD"	2	0	60	737.374686242214	5
"3"	3	0	26	"white"	"brown"	"broom"	"PhD"	3	1	63	744.767089389377	4
"4"	4	0	24	"black"	"brown"	"accurate"	"HighSchool"	4	0	44	810.295315191885	3
"5"	5	0	26	"white"	"green"	"cannon"	"PhD"	5	0	26	877.593335527138	3
"6"	6	0	23	"hispanic"	"green"	"glasses"	"BA"	1	1	65	675.755507567067	5
"7"	7	1	23	NA	"brown"	"accurate"	"HighSchool"	2	1	64	646.923833623202	5
"8"	8	0	24	"black"	"green"	"broom"	"BA"	3	0	58	764.457471881748	3
"9"	9	0	26	"white"	"green"	"accurate"	"HighSchool"	4	0	24	925.812802446212	2
"10"	10	0	23	"white"	"brown"	"cannon"	"MS"	5	0	29	939.173098709583	2
"11"	11	1	26	"asian"	"brown"	"cannon"	"HighSchool"	1	1	85	656.262297742844	6
"12"	12	0	22	"white"	"brown"	"glasses"	"BA"	2	0	58	647.859247272716	4
"13"	13	0	26	"other"	"green"	"glasses"	"MS"	3	0	50	762.539063635023	4
"14"	14	0	23	"white"	"brown"	"glasses"	"PhD"	4	0	52	746.071679215793	4
"15"	15	0	28	"white"	"brown"	"glasses"	"PhD"	5	0	27	865.768300763746	3
"16"	16	0	24	"asian"	"green"	"cannon"	"BA"	1	1	87	503.493472373456	4
"17"	17	0	22	"white"	"green"	"cannon"	"BA"	2	0	70	689.215009160371	4
"18"	18	0	22	"white"	"green"	"glasses"	"BA"	3	0	67	NA	3
"19"	19	0	26	"white"	"brown"	"accurate"	"BA"	4	0	45	708.160199026333	3
"20"	20	1	27	"other"	"brown"	"broom"	"PhD"	5	0	34	809.589360142588	4
"21"	21	1	26	"hispanic"	"green"	"accurate"	"BA"	1	0	89	624.280823024751	6
"22"	22	0	25	"black"	"green"	"broom"	"MS"	2	0	60	746.389880306102	4
"23"	23	0	26	"hispanic"	"brown"	"cannon"	"MS"	3	0	57	751.533694846161	4
"24"	24	1	26	"white"	"green"	"broom"	"PhD"	4	0	32	826.635605187703	4
"25"	25	1	27	"black"	"green"	"cannon"	"MS"	5	0	19	888.454270420388	4
"26"	26	1	25	"hispanic"	"green"	"accurate"	"HighSchool"	1	0	72	560.189019911017	6
"27"	27	1	24	"black"	"green"	"cannon"	"BA"	2	NA	63	722.735665696689	6
"28"	28	1	20	"white"	"green"	"accurate"	"BA"	3	0	53	803.817700340421	5
"29"	29	0	28	"white"	"brown"	"accurate"	"MS"	4	0	43	879.032597704863	4
