"id"	"sex"	"age"	"race"	"color"	"word"	"education"	"boxes"	"accuracy"	"confidence"	"rt"	"interest"
"1"	1	1	24	"white"	"yellow"	"broom"	"PhD"	1	1	96	509.491396761989	6
"2"	2	0	26	"hispanic"	"yellow"	"accurate"	"HighSchool"	2	0	65	644.564672730302	4
"3"	3	0	28	"black"	"green"	"candle"	"HighSchool"	3	0	42	708.68760671259	3
"4"	4	1	27	"white"	"green"	"accurate"	"MS"	4	0	46	891.888931684663	4
"5"	5	1	28	"hispanic"	"yellow"	"paper"	"PhD"	5	0	17	908.874027293094	3
"6"	6	0	23	"white"	"green"	"paper"	"MS"	1	1	91	543.43965896452	4
"7"	7	0	26	"white"	"green"	"broom"	"MS"	2	1	72	627.414421015429	4
"8"	8	0	31	"white"	"yellow"	"broom"	"PhD"	3	0	56	655.982951472963	3
"9"	9	1	31	"white"	"yellow"	"accurate"	"BA"	4	1	48	766.337842250672	6
"10"	10	1	25	"black"	"green"	"accurate"	"PhD"	5	0	25	930.525400306768	3
"11"	11	1	27	"white"	"yellow"	"broom"	"PhD"	1	1	79	621.532380011294	5
"12"	12	1	24	"white"	"green"	"candle"	"PhD"	2	1	78	657.862694201175	5
"13"	13	1	29	"hispanic"	"yellow"	"accurate"	"BA"	3	0	50	NA	5
"14"	14	0	25	"white"	"green"	"paper"	"PhD"	4	0	43	880.323489146112	2
"15"	15	0	27	"white"	"green"	"candle"	"PhD"	5	0	20	1023.59613488436	1
"16"	16	1	24	"asian"	"green"	"broom"	"MS"	1	1	82	581.504961306271	5
"17"	17	1	26	"white"	"yellow"	"candle"	"BA"	2	0	59	749.884725984392	4
"18"	18	1	27	"white"	"green"	"accurate"	"PhD"	3	1	59	705.988334160044	6
"19"	19	0	21	"white"	"green"	"candle"	"BA"	4	0	42	769.572954405125	2
"20"	20	0	27	"white"	"green"	"accurate"	"MS"	5	0	33	913.317369739106	3
"21"	21	1	23	"asian"	"green"	"paper"	"MS"	1	0	87	556.785354992038	5
"22"	22	0	26	"white"	"green"	"accurate"	"PhD"	2	1	68	735.855665233231	4
"23"	23	1	23	"asian"	"yellow"	"paper"	"HighSchool"	3	0	60	772.324878102796	5
"24"	24	1	25	"black"	"green"	"broom"	"PhD"	4	0	32	821.635951224641	3
"25"	25	1	28	"white"	"green"	"candle"	"MS"	5	0	28	927.840989498823	3
"26"	26	0	23	"white"	"yellow"	"paper"	"HighSchool"	1	1	82	647.394989119921	4
"27"	27	1	21	"white"	"yellow"	"candle"	"BA"	2	0	62	735.557386053579	6
"28"	28	1	22	"white"	"yellow"	"candle"	"HighSchool"	3	0	47	879.453709027234	4
"29"	29	0	22	"hispanic"	"green"	"accurate"	"MS"	4	0	36	838.075474402669	3
"30"	30	0	28	"white"	"yellow"	"paper"	"BA"	5	0	19	1005.48747476687	2
"31"	31	1	26	"white"	"green"	"broom"	"PhD"	1	1	92	526.136880942726	6
"32"	32	1	24	"white"	"green"	"broom"	"BA"	2	1	61	670.389878229799	4
"33"	33	1	24	"white"	"green"	"paper"	"HighSchool"	3	1	56	719.307229345412	6
"34"	34	1	24	"hispanic"	"green"	"candle"	"MS"	4	0	28	958.372478140243	4
"35"	35	0	25	"black"	"yellow"	"paper"	"PhD"	5	1	22	986.613824501714	2
"36"	36	1	25	"asian"	"green"	"paper"	"PhD"	1	1	98	517.167257353553	6
"37"	37	1	29	"black"	"green"	"candle"	"HighSchool"	2	0	64	675.207723740817	4
"38"	38	0	24	"asian"	"yellow"	"accurate"	"PhD"	3	0	49	783.52353770268	4
"39"	39	0	26	"white"	"yellow"	"candle"	"MS"	4	1	34	786.195357871324	3
"40"	40	0	24	"white"	"yellow"	"candle"	"PhD"	5	1	14	1022.31389455044	2
"41"	41	0	25	"black"	"green"	"accurate"	"HighSchool"	1	1	79	548.525833100921	4
"42"	42	0	27	"hispanic"	"green"	"candle"	"HighSchool"	2	1	68	662.010102249101	3
"43"	43	0	27	"other"	"yellow"	"broom"	"MS"	3	1	45	835.842485401213	3
"44"	44	1	27	"white"	"green"	"accurate"	"BA"	4	0	34	853.221505578178	4
"45"	45	0	23	"black"	"yellow"	"paper"	"BA"	5	0	9	931.042025983163	2
"46"	46	0	23	"other"	"yellow"	"accurate"	"PhD"	1	0	71	680.100870860645	4
"47"	47	0	26	"other"	"green"	"accurate"	"HighSchool"	2	1	71	594.928742284041	3
"48"	48	1	23	"other"	"green"	"accurate"	"BA"	3	0	52	796.712808261138	4
"49"	49	0	25	"white"	"yellow"	"candle"	"BA"	4	1	41	772.545826891946	3
"50"	50	0	26	"white"	"yellow"	"paper"	"PhD"	5	0	19	963.332301200765	NA
"51"	51	1	29	"white"	"yellow"	"paper"	"BA"	1	1	87	565.331513546111	7
"52"	52	1	25	"black"	"green"	"broom"	"BA"	2	1	61	666.909187494726	5
"53"	53	1	25	"other"	"yellow"	"paper"	"MS"	3	0	45	821.476559334559	3
"54"	54	0	25	"other"	"green"	"accurate"	"BA"	4	0	48	837.354044057997	3
"55"	55	0	23	"black"	"green"	"accurate"	"BA"	5	0	28	851.659593278474	2
"56"	56	0	24	"black"	"yellow"	"paper"	"HighSchool"	1	1	80	492.3633156995	5
"57"	57	0	23	"black"	"green"	"candle"	"PhD"	2	0	56	757.725701873726	4
"58"	58	0	26	"other"	"green"	"accurate"	"BA"	3	0	56	694.825525177449	3
"59"	59	1	24	"other"	"green"	"accurate"	"HighSchool"	4	0	47	840.616558650567	5
"60"	60	0	24	"other"	"green"	"accurate"	"MS"	5	0	18	1052.58844098773	3
"61"	61	0	26	"white"	"green"	"paper"	"HighSchool"	1	1	98	511.984575623074	3
"62"	62	1	24	"black"	"green"	"candle"	"MS"	2	1	78	575.430652185354	6
"63"	63	1	24	"asian"	"green"	"paper"	"HighSchool"	3	0	52	821.589972107521	3
"64"	64	1	27	"other"	"yellow"	"candle"	"PhD"	4	0	29	886.225420499789	4
"65"	65	1	25	"white"	"yellow"	"accurate"	"BA"	5	0	27	906.776874673793	4
"66"	66	1	32	"other"	"green"	"broom"	"MS"	1	1	100	543.650494794013	6
"67"	67	1	23	"white"	"yellow"	"accurate"	"PhD"	2	1	66	634.258941149425	5
"68"	68	1	26	"hispanic"	"yellow"	"paper"	"PhD"	3	1	46	709.366234741286	6
"69"	69	0	24	"black"	"green"	"paper"	"PhD"	4	0	24	951.145319017178	2
"70"	70	0	29	"hispanic"	"yellow"	"broom"	"BA"	5	0	15	982.220416086584	2
"71"	71	1	27	"asian"	"green"	"broom"	"BA"	1	0	91	623.08160126959	5
"72"	72	1	27	"white"	"green"	"broom"	"MS"	2	1	86	568.926371139316	6
"73"	73	1	25	"white"	"green"	"paper"	"BA"	3	0	46	866.862334720654	4
"74"	74	0	31	"white"	"yellow"	"paper"	"PhD"	4	0	38	804.213916331628	2
"75"	75	1	25	"other"	"yellow"	"broom"	"PhD"	5	0	12	972.939493567935	4
"76"	76	1	24	"white"	"yellow"	"paper"	"BA"	1	1	82	615.425806543046	6
"77"	77	0	27	"black"	"yellow"	"candle"	"MS"	2	1	61	651.640359865381	4
"78"	78	0	29	"other"	"yellow"	"accurate"	"MS"	3	1	46	870.837664487094	2
"79"	79	1	28	"hispanic"	"yellow"	"broom"	"BA"	4	0	48	850.527542753516	4
"80"	80	1	25	"white"	"yellow"	"paper"	"MS"	5	0	21	896.550847858185	4
"81"	81	0	27	"other"	"green"	"paper"	"HighSchool"	1	1	89	522.335345269774	5
"82"	82	0	23	"black"	"yellow"	"candle"	"MS"	2	1	63	643.565624810303	3
"83"	83	0	25	"asian"	"yellow"	"candle"	"PhD"	3	0	39	775.930570365289	2
"84"	84	1	23	"hispanic"	"green"	"broom"	"PhD"	4	0	32	897.178063140731	3
"85"	85	0	27	"black"	"yellow"	"paper"	"HighSchool"	5	0	27	911.983280568893	3
"86"	86	1	24	"white"	"yellow"	"accurate"	"MS"	1	0	78	661.124378873611	6
"87"	87	0	32	"asian"	"green"	"candle"	"HighSchool"	2	1	68	670.644063418827	4
"88"	88	0	25	"white"	"green"	"accurate"	"MS"	3	1	44	756.818578544451	3
"89"	89	1	28	"white"	"green"	"paper"	"BA"	4	1	49	787.993442473613	5
"90"	90	0	25	"white"	"green"	"accurate"	"PhD"	5	0	18	1031.53519137692	2
"91"	91	0	23	"asian"	"green"	"candle"	"PhD"	1	1	81	551.6614459504	4
"92"	92	0	27	"white"	"green"	"paper"	"PhD"	2	1	66	726.713511207057	3
"93"	93	0	24	"black"	"green"	"candle"	"MS"	3	1	57	772.84115293903	4
"94"	94	1	24	NA	"green"	"paper"	"BA"	4	0	32	859.880044529265	5
"95"	95	1	22	"other"	"green"	"paper"	"BA"	5	0	34	856.053597547232	4
"96"	96	1	23	"black"	"green"	"paper"	"PhD"	1	0	93	620.828689903624	6
"97"	97	1	24	"white"	"green"	"paper"	"MS"	2	1	64	657.950953583037	6
"98"	98	0	25	"black"	"yellow"	"accurate"	"PhD"	3	0	56	815.885424641301	4
"99"	99	1	28	"white"	"yellow"	"candle"	"HighSchool"	4	1	31	906.028206739352	3
"100"	100	1	25	"other"	"yellow"	"paper"	"PhD"	5	0	14	972.607150861664	4
"101"	101	1	25	"black"	"green"	"accurate"	"HighSchool"	1	1	82	545.35165709622	5
"102"	102	0	20	"hispanic"	"green"	"broom"	"BA"	2	0	68	751.665519060656	2
"103"	103	0	23	"white"	"yellow"	"paper"	"MS"	3	NA	41	785.452847025015	4
"104"	104	1	25	"hispanic"	"yellow"	"accurate"	"PhD"	4	0	46	841.148068290769	4
"105"	105	0	24	"white"	"yellow"	"broom"	"BA"	5	0	11	891.451608066378	1
"106"	106	1	26	"white"	"green"	"broom"	"HighSchool"	1	1	88	499.073438540759	5
"107"	107	1	24	"black"	"green"	"broom"	"HighSchool"	2	1	76	606.787468956325	6
"108"	108	0	29	"asian"	"green"	"paper"	"HighSchool"	3	1	44	870.658951674021	2
"109"	109	1	26	"hispanic"	"yellow"	"paper"	"MS"	4	0	40	803.99252478415	3
"110"	110	0	24	NA	"yellow"	"broom"	"MS"	5	0	0	1025.98429199758	2
"111"	111	0	24	"asian"	"yellow"	"broom"	"BA"	1	1	64	745.587495949588	3
"112"	112	0	23	"white"	"yellow"	"candle"	"MS"	2	1	71	713.618063865751	4
"113"	113	1	23	"white"	"yellow"	"paper"	"HighSchool"	3	0	41	806.78079957871	4
"114"	114	0	24	"white"	"yellow"	"broom"	"BA"	4	0	33	922.353565853167	3
"115"	115	0	21	"white"	"yellow"	"broom"	"HighSchool"	5	0	17	895.267350188522	2
"116"	116	1	24	"black"	"green"	"accurate"	"HighSchool"	1	1	98	541.070274820824	6
"117"	117	1	27	"white"	"green"	"accurate"	"MS"	2	0	71	620.179941561219	4
"118"	118	1	25	"white"	"yellow"	"candle"	"MS"	3	0	62	823.109078366246	5
"119"	119	0	23	"white"	"green"	"broom"	"HighSchool"	4	0	42	829.721608474716	3
"120"	120	0	21	"hispanic"	"green"	"broom"	"BA"	5	0	18	931.819681240094	2
"121"	121	1	26	"white"	"green"	"broom"	"BA"	1	1	88	574.653231984111	5
"122"	122	1	24	"black"	"yellow"	"candle"	"HighSchool"	2	1	49	746.80999506272	5
"123"	123	0	24	"black"	"green"	"paper"	"BA"	3	0	50	801.266510444384	3
"124"	124	1	26	"white"	"yellow"	"broom"	"MS"	4	0	34	896.757267762012	4
"125"	125	0	27	"other"	"green"	"accurate"	"HighSchool"	5	0	20	867.02034972132	3
"126"	126	0	25	"white"	"green"	"candle"	"HighSchool"	1	1	80	643.36283208584	5
"127"	127	0	26	"black"	"green"	"candle"	"PhD"	2	1	77	687.668783351907	3
"128"	128	0	25	"other"	"green"	"broom"	"HighSchool"	3	0	53	777.771347470554	2
"129"	129	1	21	"black"	"green"	"broom"	"MS"	4	0	30	789.497309833944	3
"130"	130	1	24	"white"	"green"	"accurate"	"BA"	5	0	18	863.615350259867	4
"131"	131	0	24	"white"	"yellow"	"candle"	"HighSchool"	1	1	84	673.572390296957	4
"132"	132	0	29	"white"	"green"	"paper"	"BA"	2	1	72	641.712135745976	4
"133"	133	1	26	"black"	"yellow"	"paper"	"MS"	3	0	46	746.731712856916	4
"134"	134	0	23	"white"	"yellow"	"accurate"	"BA"	4	NA	43	855.241386193515	2
"135"	135	1	25	"other"	"yellow"	"candle"	"HighSchool"	5	0	9	918.972358689617	4
"136"	136	1	26	"asian"	"yellow"	"broom"	"HighSchool"	1	1	80	588.000596442799	5
"137"	137	0	26	"white"	"green"	"broom"	"BA"	2	1	64	609.79046246055	3
"138"	138	0	26	"white"	"green"	"candle"	"HighSchool"	3	0	56	743.386194410854	3
"139"	139	0	24	"white"	"green"	"paper"	"MS"	4	0	38	939.488379388108	3
"140"	140	1	23	"other"	"yellow"	"accurate"	"BA"	5	0	19	958.517172931045	2
"141"	141	1	26	"white"	"yellow"	"accurate"	"BA"	1	1	78	640.731204049389	5
"142"	142	0	25	"other"	"yellow"	"broom"	"MS"	2	1	62	608.815126017461	2
"143"	143	0	22	"white"	"yellow"	"candle"	"PhD"	3	0	61	768.306263066742	4
"144"	144	1	21	"white"	"green"	"paper"	"HighSchool"	4	1	33	778.177259289028	5
"145"	145	1	24	"black"	"green"	"candle"	"MS"	5	0	22	996.898160469986	5
"146"	146	1	25	"black"	"yellow"	"broom"	"BA"	1	0	84	442.044786664119	6
"147"	147	1	24	"white"	"green"	"paper"	"HighSchool"	2	0	67	832.483200624212	5
"148"	148	0	26	"white"	"yellow"	"accurate"	"HighSchool"	3	1	44	881.986015254065	3
"149"	149	1	27	"white"	"yellow"	"paper"	"HighSchool"	4	0	25	832.088869591127	3
"150"	150	1	22	"white"	"green"	"candle"	"PhD"	5	0	28	908.451086669915	3
"151"	151	1	25	"white"	"yellow"	"candle"	"BA"	1	0	86	599.57475326089	6
"152"	152	0	23	"hispanic"	"green"	"paper"	"MS"	2	0	72	577.286431955848	3
"153"	153	0	24	"asian"	"green"	"broom"	"PhD"	3	0	65	778.77530799468	4
"154"	154	0	24	"white"	"yellow"	"broom"	"BA"	4	0	33	874.989338449816	2
"155"	155	0	28	"white"	"green"	"paper"	"PhD"	5	1	18	1073.46017766257	3
"156"	156	0	26	"other"	"green"	"broom"	"MS"	1	1	84	591.203125881911	3
"157"	157	1	23	"other"	"yellow"	"broom"	"MS"	2	1	85	664.515534014744	5
"158"	158	1	25	"white"	"yellow"	"broom"	"MS"	3	0	39	853.249321135349	4
"159"	159	1	22	"black"	"yellow"	"broom"	"MS"	4	0	28	960.699061766078	3
"160"	160	0	25	"white"	"yellow"	"candle"	"HighSchool"	5	0	9	1003.16826724997	1
"161"	161	0	23	"white"	"green"	"paper"	NA	1	1	85	598.156908656854	3
"162"	162	1	25	"asian"	"yellow"	"broom"	"PhD"	2	0	54	713.460943294197	5
"163"	163	1	25	"black"	"yellow"	"broom"	"HighSchool"	3	0	52	796.906044024138	5
"164"	164	1	25	"white"	"yellow"	"accurate"	"HighSchool"	4	0	28	973.866568049423	4
"165"	165	0	24	"hispanic"	"green"	"paper"	"MS"	5	0	24	988.731499032139	2
"166"	166	1	27	"white"	"green"	"broom"	"HighSchool"	1	NA	84	523.445457781889	5
"167"	167	1	27	"black"	"yellow"	"candle"	"HighSchool"	2	1	71	669.281901694076	6
"168"	168	0	23	"asian"	"green"	"broom"	"PhD"	3	0	50	754.695712786919	3
"169"	169	1	24	"hispanic"	"yellow"	"candle"	"HighSchool"	4	0	38	823.031509868145	4
"170"	170	0	23	"white"	"yellow"	"paper"	"PhD"	5	0	29	853.766540971798	3
"171"	171	1	26	"asian"	"green"	"candle"	"HighSchool"	1	1	80	640.341054177681	5
"172"	172	1	25	"asian"	"green"	"paper"	"PhD"	2	1	79	681.119562683562	7
"173"	173	1	27	"white"	"yellow"	"accurate"	"HighSchool"	3	0	40	765.943623770028	4
"174"	174	0	25	"white"	"green"	"candle"	"BA"	4	0	38	849.98959574705	2
"175"	175	0	23	"white"	"green"	"paper"	"BA"	5	0	20	885.649534527645	3
"176"	176	0	26	"white"	"green"	"paper"	"BA"	1	1	87	569.353687002453	4
"177"	177	0	24	"other"	"green"	"accurate"	"HighSchool"	2	0	71	676.857544498781	3
"178"	178	0	22	"hispanic"	"green"	"paper"	"HighSchool"	3	1	48	853.156724343107	3
"179"	179	1	26	"black"	"yellow"	"broom"	"PhD"	4	NA	29	929.260593880708	4
"180"	180	1	26	"white"	"green"	"broom"	"BA"	5	0	23	862.722121481952	3
"181"	181	0	30	"black"	"yellow"	"paper"	"HighSchool"	1	1	91	510.723407119565	5
"182"	182	0	24	"white"	"green"	"broom"	"MS"	2	0	71	596.526029411346	3
"183"	183	1	26	"black"	"yellow"	"accurate"	"HighSchool"	3	0	36	884.260881302435	4
"184"	184	1	24	"hispanic"	"yellow"	"broom"	"HighSchool"	4	0	23	855.754452360217	3
"185"	185	0	25	"white"	"yellow"	"accurate"	"BA"	5	0	6	1133.34361733287	2
"186"	186	0	26	"white"	"green"	"accurate"	"BA"	1	1	86	494.161030962289	4
"187"	187	1	27	"white"	"yellow"	"accurate"	"HighSchool"	2	0	64	690.682161971076	4
"188"	188	0	27	"white"	"green"	"accurate"	"BA"	3	0	50	821.095376573521	3
"189"	189	1	24	"white"	"green"	"paper"	"MS"	4	0	41	812.986679484103	5
"190"	190	0	24	"white"	"yellow"	"paper"	"HighSchool"	5	0	15	1038.47721721976	2
"191"	191	1	24	"white"	"green"	"broom"	"MS"	1	1	80	615.571537974539	5
"192"	192	1	28	"black"	"green"	"broom"	"MS"	2	1	67	632.716493943971	5
"193"	193	1	20	"white"	"green"	"accurate"	"PhD"	3	0	46	835.051276567598	3
"194"	194	0	27	"white"	"green"	"candle"	"BA"	4	1	42	836.405737291086	2
"195"	195	1	25	"hispanic"	"yellow"	"accurate"	"MS"	5	0	16	1036.74636935637	3
"196"	196	1	25	"white"	"yellow"	"paper"	"PhD"	1	1	81	635.732445868979	5
"197"	197	1	27	"white"	"green"	"broom"	"PhD"	2	1	74	657.512342874756	5
"198"	198	0	29	"hispanic"	"yellow"	"candle"	"PhD"	3	0	56	629.950560807916	2
"199"	199	0	25	"black"	"green"	"accurate"	"HighSchool"	4	NA	44	774.167072689318	3
"200"	200	0	26	"asian"	"green"	"broom"	"MS"	5	0	19	893.400430089676	2
"201"	201	1	25	"asian"	"green"	"broom"	"HighSchool"	1	1	83	618.928464517259	6
"202"	202	0	27	"other"	"green"	"broom"	"BA"	2	0	66	681.107245989112	4
"203"	203	0	26	"white"	"green"	"candle"	"BA"	3	0	59	795.979195996222	3
"204"	204	0	23	"black"	"green"	"accurate"	"BA"	4	1	37	851.766799161863	2
"205"	205	1	24	"other"	"green"	"accurate"	"MS"	5	0	21	906.590262555264	3
"206"	206	1	24	"hispanic"	"green"	"broom"	"PhD"	1	1	86	698.695143717087	5
