"id"	"sex"	"age"	"race"	"color"	"word"	"education"	"boxes"	"accuracy"	"confidence"	"rt"	"interest"
"1"	1	0	24	"other"	"yellow"	"accurate"	"PhD"	1	1	74	601.483749215973	4
"2"	2	0	25	"white"	"green"	"eyepatch"	"BA"	2	0	62	750.427194452195	4
"3"	3	1	23	"white"	"yellow"	"candle"	"MS"	3	0	59	638.597493074848	5
"4"	4	0	22	"asian"	"yellow"	"candle"	"MS"	4	0	31	872.832337538649	2
"5"	5	1	26	"hispanic"	"green"	"cannon"	"BA"	5	1	24	926.171038465517	4
"6"	6	1	27	"white"	"yellow"	"eyepatch"	"HighSchool"	1	1	73	689.563305967338	5
"7"	7	1	27	"white"	"yellow"	"eyepatch"	"BA"	2	1	53	693.243512473474	5
"8"	8	1	23	"white"	"green"	"eyepatch"	"BA"	3	0	52	746.074063548678	3
"9"	9	0	21	"black"	"green"	"eyepatch"	"PhD"	4	0	32	900.966399870829	3
"10"	10	0	26	"black"	"yellow"	"candle"	"HighSchool"	5	1	13	1031.08854667002	3
"11"	11	0	28	"white"	"yellow"	"cannon"	"MS"	1	1	95	535.62967160713	6
"12"	12	0	24	"white"	"green"	"candle"	"BA"	2	0	68	724.052249377069	5
"13"	13	0	26	"black"	"green"	"cannon"	"HighSchool"	3	0	50	872.216209839028	4
"14"	14	1	24	"other"	"green"	"candle"	"PhD"	4	0	36	822.621020157073	4
"15"	15	1	22	"hispanic"	"yellow"	"candle"	"BA"	5	0	25	909.513929153967	3
"16"	16	1	24	"black"	"yellow"	"cannon"	"PhD"	1	1	69	731.792146966582	5
"17"	17	1	23	"black"	"green"	"accurate"	"BA"	2	0	73	629.415262806298	6
"18"	18	1	27	"white"	"yellow"	"cannon"	"MS"	3	1	46	709.329159519994	5
"19"	19	1	25	"hispanic"	"yellow"	"candle"	"MS"	4	0	27	928.017323610918	5
"20"	20	1	23	"white"	"green"	"cannon"	"BA"	5	0	29	782.51048482929	3
"21"	21	0	27	"hispanic"	"yellow"	"candle"	"HighSchool"	1	0	84	579.718920898138	3
