"id"	"sex"	"age"	"attention"	"prime"	"prime.duration"	"grandparents"	"walk"	"walking.m"
"4"	4	"m"	23	1	"elderly"	1	"yes"	40.4	0.673333333333333
"8"	8	"m"	24	1	"elderly"	1	"none"	34	0.566666666666667
"10"	10	"m"	22	1	"neutral"	5	"none"	24.4	0.406666666666667
"12"	12	"f"	22	1	"neutral"	10	"yes"	36.8	0.613333333333333
"13"	13	"m"	21	1	"neutral"	30	"none"	23.6	0.393333333333333
"14"	14	"m"	22	1	"elderly"	10	"yes"	39.1	0.651666666666667
"17"	17	"m"	23	1	"neutral"	1	"none"	23.7	0.395
"18"	18	"m"	21	1	"neutral"	30	"yes"	24.3	0.405
"19"	19	"m"	22	1	"neutral"	1	"yes"	25.2	0.42
"23"	23	"f"	23	1	"elderly"	10	"none"	45.1	0.751666666666667
"24"	24	"f"	22	1	"neutral"	10	"none"	34.7	0.578333333333333
"26"	26	"m"	21	1	"elderly"	1	"none"	33.1	0.551666666666667
"27"	27	"f"	22	1	"neutral"	1	"yes"	33.2	0.553333333333333
"29"	29	"f"	23	1	"elderly"	1	"yes"	51.2	0.853333333333333
"31"	31	"m"	23	1	"neutral"	30	"none"	23.9	0.398333333333333
"33"	33	"m"	23	1	"neutral"	30	"none"	25.3	0.421666666666667
"36"	36	"f"	22	1	"neutral"	30	"none"	35	0.583333333333333
"37"	37	"m"	23	1	"neutral"	5	"none"	24.7	0.411666666666667
"40"	40	"m"	22	1	"elderly"	1	"yes"	41.4	0.69
"41"	41	"m"	23	1	"neutral"	10	"yes"	24.7	0.411666666666667
"42"	42	"f"	21	1	"neutral"	10	"none"	35.3	0.588333333333333
"43"	43	"f"	22	1	"neutral"	1	"none"	32.9	0.548333333333333
"44"	44	"f"	22	1	"elderly"	5	"no"	45.5	0.758333333333333
"46"	46	"m"	22	1	"neutral"	5	"no"	25.9	0.431666666666667
"47"	47	"f"	22	1	"neutral"	10	"no"	36.5	0.608333333333333
"49"	49	"m"	23	1	"elderly"	1	"no"	34.6	0.576666666666667
"50"	50	"m"	21	1	"elderly"	1	"none"	34.3	0.571666666666667
"52"	52	"m"	21	1	"neutral"	10	"none"	24.7	0.411666666666667
"55"	55	"f"	22	1	"neutral"	5	"yes"	35	0.583333333333333
"56"	56	"m"	23	1	"elderly"	1	"no"	35.3	0.588333333333333
"58"	58	"m"	22	1	"neutral"	10	"none"	25.2	0.42
"59"	59	"f"	20	1	"elderly"	1	"no"	45.5	0.758333333333333
"60"	60	"m"	23	1	"neutral"	10	"no"	24	0.4
"62"	62	"f"	21	1	"neutral"	10	"none"	36	0.6
"63"	63	"f"	22	1	"elderly"	30	"none"	44.2	0.736666666666667
"65"	65	"m"	22	1	"neutral"	5	"no"	23.9	0.398333333333333
"67"	67	"m"	21	1	"elderly"	1	"yes"	38.8	0.646666666666667
"68"	68	"m"	22	1	"elderly"	30	"yes"	40.8	0.68
"69"	69	"m"	21	1	"elderly"	5	"none"	33.9	0.565
"70"	70	"f"	23	1	"elderly"	1	"yes"	50.5	0.841666666666667
"71"	71	"m"	21	1	"elderly"	1	"yes"	41.6	0.693333333333333
"72"	72	"m"	23	1	"neutral"	30	"none"	24.9	0.415
"74"	74	"f"	22	1	"neutral"	30	"none"	36.2	0.603333333333333
"75"	75	"f"	22	1	"neutral"	10	"yes"	34.8	0.58
"76"	76	"f"	24	1	"elderly"	1	"yes"	48.8	0.813333333333333
"77"	77	"f"	22	1	"neutral"	30	"none"	35.9	0.598333333333333
"80"	80	"m"	22	1	"neutral"	10	"yes"	23.5	0.391666666666667
"82"	82	"f"	23	1	"elderly"	1	"yes"	49.2	0.82
