"a"	"b"	"c"	"d"	"e"	"f"	"g"	"h"
"1"	1	"m"	21	1	"asdf"	1	"no"	25.4
"2"	2	"m"	21	1	"asdf"	30	"no"	23.6
"3"	3	"f"	22	1	"asdf"	30	"none"	34.5
"4"	4	"m"	23	1	"elderly"	1	"yes"	40.4
"5"	5	"m"	23	1	"asdf"	10	"none"	25
"6"	6	"m"	22	1	"asdf"	10	"yes"	24.7
"7"	7	"f"	20	1	"asdf"	10	"yes"	35.3
"8"	8	"m"	24	1	"elderly"	1	"none"	34
"9"	9	"f"	21	1	"asdf"	10	"no"	35.4
"10"	10	"m"	22	1	"neutral"	5	"none"	24.4
"11"	11	"f"	22	1	"asdf"	30	"yes"	35.2
"12"	12	"f"	22	1	"neutral"	10	"yes"	36.8
"13"	13	"m"	21	1	"neutral"	30	"none"	23.6
"14"	14	"m"	22	1	"elderly"	10	"yes"	39.1
"15"	15	"f"	23	0	"asdf"	30	"yes"	34.2
"16"	16	"f"	22	1	"asdf"	10	"none"	-72.8104610252194
"17"	17	"m"	23	1	"neutral"	1	"none"	23.7
"18"	18	"m"	21	1	"neutral"	30	"yes"	24.3
"19"	19	"m"	22	1	"neutral"	1	"yes"	25.2
"20"	20	"f"	23	0	"elderly"	5	"yes"	48.9
"21"	21	"f"	23	0	"elderly"	5	"yes"	-54.4397116615437
"22"	22	"f"	22	1	"asdf"	1	"none"	34.3
"23"	23	"f"	23	1	"elderly"	10	"none"	45.1
"24"	24	"f"	22	1	"neutral"	10	"none"	34.7
"25"	25	"m"	23	0	"asdf"	10	"no"	24.4
"26"	26	"m"	21	1	"elderly"	1	"none"	33.1
"27"	27	"f"	22	1	"neutral"	1	"yes"	33.2
"28"	28	"f"	22	1	"elderly"	1	"no"	-87.7428909903392
"29"	29	"f"	23	1	"elderly"	1	"yes"	51.2
"30"	30	"m"	19	0	"elderly"	10	"no"	35.2
"31"	31	"m"	23	1	"neutral"	30	"none"	23.9
"32"	32	"f"	22	1	"asdf"	1	"yes"	-92.3492349451408
"33"	33	"m"	23	1	"neutral"	30	"none"	25.3
"34"	34	"f"	23	1	"asdf"	5	"no"	36
"35"	35	"f"	23	1	"elderly"	20	"no"	46
"36"	36	"f"	22	1	"neutral"	30	"none"	35
"37"	37	"m"	23	1	"neutral"	5	"none"	24.7
"38"	38	"f"	22	1	"asdf"	30	"no"	34.9
"39"	39	"f"	23	0	"neutral"	30	"none"	35.6
"40"	40	"m"	22	1	"elderly"	1	"yes"	41.4
"41"	41	"m"	23	1	"neutral"	10	"yes"	24.7
"42"	42	"f"	21	1	"neutral"	10	"none"	35.3
"43"	43	"f"	22	1	"neutral"	1	"none"	32.9
"44"	44	"f"	22	1	"elderly"	5	"no"	45.5
"45"	45	"f"	21	1	"asdf"	5	"yes"	36.6
"46"	46	"m"	22	1	"neutral"	5	"no"	25.9
"47"	47	"f"	22	1	"neutral"	10	"no"	36.5
"48"	48	"f"	24	1	"neutral"	20	"no"	36.4
"49"	49	"m"	23	1	"elderly"	1	"no"	34.6
"50"	50	"m"	21	1	"elderly"	1	"none"	34.3
"51"	51	"m"	20	0	"neutral"	30	"none"	25.8
"52"	52	"m"	21	1	"neutral"	10	"none"	24.7
"53"	53	"m"	21	0	"elderly"	5	"none"	34.8
"54"	54	"m"	21	1	"asdf"	10	"no"	25.2
"55"	55	"f"	22	1	"neutral"	5	"yes"	35
"56"	56	"m"	23	1	"elderly"	1	"no"	35.3
"57"	57	"m"	22	1	"asdf"	10	"none"	25.2
"58"	58	"m"	22	1	"neutral"	10	"none"	25.2
"59"	59	"f"	20	1	"elderly"	1	"no"	45.5
"60"	60	"m"	23	1	"neutral"	10	"no"	24
"61"	61	"m"	23	1	"asdf"	60	"yes"	23.2
"62"	62	"f"	21	1	"neutral"	10	"none"	36
"63"	63	"f"	22	1	"elderly"	30	"none"	44.2
"64"	64	"f"	22	1	"asdf"	30	"no"	35.5
"65"	65	"m"	22	1	"neutral"	5	"no"	23.9
"66"	66	"m"	22	1	"asdf"	10	"no"	25.8
"67"	67	"m"	21	1	"elderly"	1	"yes"	38.8
"68"	68	"m"	22	1	"elderly"	30	"yes"	40.8
"69"	69	"m"	21	1	"elderly"	5	"none"	33.9
"70"	70	"f"	23	1	"elderly"	1	"yes"	50.5
"71"	71	"m"	21	1	"elderly"	1	"yes"	41.6
"72"	72	"m"	23	1	"neutral"	30	"none"	24.9
"73"	73	"f"	22	1	"asdf"	5	"yes"	35.5
"74"	74	"f"	22	1	"neutral"	30	"none"	36.2
"75"	75	"f"	22	1	"neutral"	10	"yes"	34.8
"76"	76	"f"	24	1	"elderly"	1	"yes"	48.8
"77"	77	"f"	22	1	"neutral"	30	"none"	35.9
"78"	78	"f"	23	1	"neutral"	10	"yes"	-50.3841078002006
"79"	79	"f"	23	1	"asdf"	30	"no"	34.9
"80"	80	"m"	22	1	"neutral"	10	"yes"	23.5
"81"	81	"m"	21	1	"asdf"	1	"no"	26.5
"82"	82	"f"	23	1	"elderly"	1	"yes"	49.2
"83"	83	"f"	22	1	"asdf"	30	"no"	35.8
