"session"	"sex"	"age"	"haircolor"	"university"	"education"	"shirtless"	"intelligence"	"attractiveness"	"dateability"
"1"	1	"m"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"1.low"	45
"2"	1	"m"	24	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"2.medium"	"3.high"	63
"3"	1	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"2.medium"	58
"4"	1	"f"	23	"brown"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	86
"5"	1	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	96
"6"	1	"m"	28	"brown"	"1.Basel"	"4.PhD"	"1.No"	"3.high"	"3.high"	90
"7"	1	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	66
"8"	1	"m"	19	"brown"	"2.Zurich"	"1.HighSchool"	"2.Yes"	"2.medium"	"2.medium"	72
"9"	1	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"1.low"	39
"10"	1	"f"	21	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	46
"11"	2	"f"	22	"brown"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	90
"12"	2	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"3.high"	"1.low"	69
"13"	2	"f"	19	"blonde"	"2.Zurich"	"1.HighSchool"	"1.No"	"2.medium"	"1.low"	39
"14"	2	"f"	21	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
"15"	2	"m"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	53
"16"	2	"f"	25	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"1.low"	48
"17"	2	"f"	26	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"1.low"	"1.low"	0
"18"	2	"m"	24	"brown"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"1.low"	31
"19"	2	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"2.medium"	48
"20"	2	"m"	23	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"2.medium"	"1.low"	64
"21"	3	"f"	20	"blonde"	"1.Basel"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	56
"22"	3	"f"	28	"brown"	"2.Zurich"	"4.PhD"	"2.Yes"	"3.high"	"3.high"	79
"23"	3	"m"	24	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"2.medium"	36
"24"	3	"f"	25	"brown"	"1.Basel"	"3.Masters"	"1.No"	"1.low"	"3.high"	69
"25"	3	"f"	22	"blonde"	"2.Zurich"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	35
"26"	3	"f"	28	"brown"	"2.Zurich"	"4.PhD"	"1.No"	"2.medium"	"1.low"	39
"27"	3	"m"	23	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"1.low"	"1.low"	15
"28"	3	"m"	21	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	82
"29"	3	"m"	23	"blonde"	"1.Basel"	"3.Masters"	"1.No"	"3.high"	"3.high"	68
"30"	3	"f"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"3.high"	95
"31"	4	"m"	19	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	58
"32"	4	"m"	23	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"3.high"	"3.high"	42
"33"	4	"m"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	61
"34"	4	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	23
"35"	4	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	100
"36"	4	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	61
"37"	4	"m"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	39
"38"	4	"f"	25	"brown"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"3.high"	100
"39"	4	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	45
"40"	4	"f"	23	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	71
"41"	5	"m"	22	"blonde"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	42
"42"	5	"m"	18	"brown"	"3.Geneva"	"1.HighSchool"	"2.Yes"	"2.medium"	"2.medium"	0
"43"	5	"f"	23	"brown"	"1.Basel"	"3.Masters"	"1.No"	"2.medium"	"3.high"	100
"44"	5	"m"	23	"brown"	"1.Basel"	"3.Masters"	"2.Yes"	"2.medium"	"3.high"	43
"45"	5	"m"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	46
"46"	5	"m"	20	"brown"	"3.Geneva"	"1.HighSchool"	"1.No"	"3.high"	"2.medium"	29
"47"	5	"m"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"2.medium"	"2.medium"	34
"48"	5	"f"	23	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"3.high"	"2.medium"	91
"49"	5	"f"	29	"blonde"	"2.Zurich"	"4.PhD"	"2.Yes"	"1.low"	"3.high"	100
"50"	5	"m"	29	"brown"	"3.Geneva"	"4.PhD"	"2.Yes"	"1.low"	"2.medium"	6
"51"	6	"m"	23	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	20
"52"	6	"m"	28	"brown"	"3.Geneva"	"4.PhD"	"1.No"	"3.high"	"2.medium"	78
"53"	6	"f"	19	"blonde"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"2.medium"	31
"54"	6	"f"	21	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"1.low"	"3.high"	100
"55"	6	"m"	18	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"1.low"	"1.low"	19
"56"	6	"f"	23	"brown"	"3.Geneva"	"3.Masters"	"1.No"	"3.high"	"3.high"	47
"57"	6	"f"	29	"blonde"	"1.Basel"	"4.PhD"	"1.No"	"2.medium"	"3.high"	83
"58"	6	"f"	21	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	100
"59"	6	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	100
"60"	6	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	52
"61"	7	"f"	18	"blonde"	"2.Zurich"	"1.HighSchool"	"2.Yes"	"1.low"	"1.low"	86
"62"	7	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"3.high"	"3.high"	46
"63"	7	"f"	21	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	53
"64"	7	"f"	25	"brown"	"2.Zurich"	"3.Masters"	"1.No"	"3.high"	"1.low"	46
"65"	7	"f"	28	"blonde"	"1.Basel"	"4.PhD"	"1.No"	"2.medium"	"3.high"	100
"66"	7	"f"	21	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"2.medium"	77
"67"	7	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"3.high"	"3.high"	70
"68"	7	"m"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"1.low"	"3.high"	63
"69"	7	"f"	22	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"1.low"	45
"70"	7	"f"	24	"brown"	"2.Zurich"	"3.Masters"	"2.Yes"	"2.medium"	"2.medium"	27
"71"	8	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"2.medium"	17
"72"	8	"f"	26	"brown"	"3.Geneva"	"4.PhD"	"1.No"	"3.high"	"3.high"	11
"73"	8	"f"	24	"blonde"	"3.Geneva"	"3.Masters"	"2.Yes"	"2.medium"	"2.medium"	91
"74"	8	"f"	24	"brown"	"1.Basel"	"3.Masters"	"1.No"	"3.high"	"1.low"	26
"75"	8	"f"	20	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"3.high"	"3.high"	32
"76"	8	"m"	19	"brown"	"2.Zurich"	"1.HighSchool"	"1.No"	"2.medium"	"1.low"	56
"77"	8	"m"	23	"blonde"	"3.Geneva"	"2.Bachelors"	"1.No"	"1.low"	"2.medium"	51
"78"	8	"m"	22	"brown"	"2.Zurich"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	35
"79"	8	"f"	19	"brown"	"1.Basel"	"1.HighSchool"	"1.No"	"2.medium"	"1.low"	31
"80"	8	"f"	19	"brown"	"2.Zurich"	"1.HighSchool"	"2.Yes"	"2.medium"	"3.high"	100
"81"	9	"f"	19	"blonde"	"3.Geneva"	"1.HighSchool"	"1.No"	"2.medium"	"2.medium"	47
"82"	9	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	100
"83"	9	"f"	22	"brown"	"2.Zurich"	"2.Bachelors"	"2.Yes"	"3.high"	"2.medium"	39
"84"	9	"f"	22	"brown"	"3.Geneva"	"2.Bachelors"	"2.Yes"	"1.low"	"1.low"	91
"85"	9	"m"	24	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"2.medium"	"3.high"	64
"86"	9	"f"	23	"brown"	"1.Basel"	"3.Masters"	"1.No"	"3.high"	"3.high"	81
"87"	9	"m"	21	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"2.medium"	"3.high"	34
"88"	9	"m"	19	"brown"	"1.Basel"	"1.HighSchool"	"2.Yes"	"2.medium"	"3.high"	45
"89"	9	"m"	27	"blonde"	"3.Geneva"	"4.PhD"	"1.No"	"3.high"	"1.low"	38
"90"	9	"m"	23	"brown"	"3.Geneva"	"2.Bachelors"	"1.No"	"3.high"	"2.medium"	58
"91"	10	"f"	30	"brown"	"3.Geneva"	"4.PhD"	"2.Yes"	"3.high"	"2.medium"	100
"92"	10	"f"	22	"brown"	"1.Basel"	"2.Bachelors"	"2.Yes"	"2.medium"	"3.high"	100
"93"	10	"f"	25	"blonde"	"3.Geneva"	"3.Masters"	"1.No"	"2.medium"	"2.medium"	46
"94"	10	"m"	24	"brown"	"1.Basel"	"3.Masters"	"2.Yes"	"2.medium"	"3.high"	6
